AirlineID;ConnectionID;FlightDate;Price;CurrencyCode_code;PlaneType;MaximumSeats;OccupiedSeats
SW;0001;2021-08-18;10818.00;SGD;767-200;260;223
SW;0001;2020-10-22;5950.00;SGD;A340-600;330;168
SW;0002;2021-08-19;11765.00;SGD;747-400;385;350
SW;0002;2020-10-23;10953.00;SGD;747-400;385;334
SW;0011;2021-08-19;2359.00;SGD;767-200;260;132
SW;0011;2020-10-23;4880.00;SGD;A340-600;330;310
SW;0012;2021-08-21;4665.00;SGD;767-200;260;236
SW;0012;2020-10-25;2574.00;SGD;747-400;385;215
SW;0058;2021-08-16;6629.00;USD;767-200;260;200
SW;0058;2020-10-20;4996.00;USD;747-400;385;231
SW;0059;2021-08-17;4131.00;USD;A340-600;330;161
SW;0059;2020-10-21;6053.00;USD;A340-600;330;237
SW;1537;2021-08-20;893.00;USD;A321-200;150;88
SW;1537;2020-10-24;805.00;USD;737-800;140;75
GA;0322;2021-08-22;1103.00;USD;A320-200;130;93
GA;0322;2020-10-26;1611.00;USD;A320-200;130;123
GA;0017;2021-08-18;462.00;USD;A321-200;150;139
GA;0017;2020-10-22;478.00;USD;737-800;140;133
GA;2678;2021-08-21;473.00;USD;A321-200;150;141
GA;2678;2020-10-25;473.00;USD;A320-200;130;122
GA;0015;2021-08-20;1911.00;USD;767-200;260;137
GA;0015;2020-10-24;3117.00;USD;767-200;260;213
GA;0018;2021-08-19;3781.00;USD;A380-800;475;446
GA;0018;2020-10-23;3823.00;USD;767-200;260;247
EA;0400;2021-08-21;5484.00;EUR;A340-600;330;306
EA;0400;2020-10-25;2649.00;EUR;767-200;260;130
EA;0401;2021-08-20;3697.00;EUR;747-400;385;265
EA;0401;2020-10-24;4867.00;EUR;A380-800;475;403
EA;0402;2021-08-16;4911.00;EUR;767-200;260;221
EA;0402;2020-10-20;3232.00;EUR;747-400;385;231
EA;0403;2021-08-16;2797.00;EUR;A340-600;330;171
EA;0403;2020-10-20;2486.00;EUR;767-200;260;117
OC;0407;2021-08-20;5346.00;JPY;747-400;385;254
OC;0407;2020-10-24;4032.00;JPY;A340-600;330;165
OC;0408;2021-08-21;8159.00;JPY;A380-800;475;432
OC;0408;2020-10-25;6471.00;JPY;747-400;385;296
FA;0788;2021-08-21;7580.00;EUR;767-200;260;221
FA;0788;2020-10-25;8059.00;EUR;A380-800;475;422
FA;0789;2021-08-20;8539.00;EUR;A380-800;475;441
FA;0789;2020-10-24;5852.00;EUR;A380-800;;
